id,ra,dec,z,d_c,z_v,d_c_v,x_c,y_c,z_c,vx,vy,vz,vr,log_m,z_s,bulge_length,bulge_axis_ratio,bulge_angle,disk_length,disk_angle,disk_axis_ratio,ra_mag,dec_mag,Mass,
130308864,2.690494,1.071531,0.84408,2091.34,0.84307,2089.36,98.15,2088.67,39.11,-11,-102,122,-163.9,12.941,0.8431,0.00772047,0.652016,61.7249,0.428311,61.7249,0.652016,2.671565,1.061964,8.72971E+12,
130308992,2.256404,1.317714,0.84643,2095.98,0.84662,2096.35,82.5,2093.8,48.2,265,12,375,31,11.486,0.8466,0.0026464,0.346854,-80.1633,0.230692,-80.1633,0.346854,2.238039,1.310332,3.06196E+11,
130309120,2.661543,1.601392,0.84872,2100.49,0.84757,2098.22,97.5,2097.4,58.7,-328,-172,-16,-187.4,11.518,0.8476,0.0185435,0.32377,-147.331,0.476535,-147.331,0.32377,2.644689,1.597491,3.2961E+11,
130309248,2.903443,1.793155,0.84829,2099.62,0.85097,2104.9,106.3,2095.9,65.7,-183,451,-163,435.8,12.154,0.851,0.00321771,0.13391,-157.786,0.253528,-157.786,0.13391,2.887623,1.788814,1.42561E+12,
131675648,0.564947,0.126766,0.83787,2079.11,0.8394,2082.12,20.5,2079,4.6,-146,251,-476,248.5,11.325,0.8394,0.00642053,0.891601,-141.505,0.495561,-141.505,0.891601,0.548333,0.120938,2.11349E+11,
131675776,1.18475,1.0584,0.84324,2089.7,0.84268,2088.58,43.2,2088.9,38.6,-29,-94,116,-92.4,11.517,0.8427,0.0110516,0.595252,107.076,0.562598,107.076,0.595252,1.167291,1.04772,3.28852E+11,
131675904,2.111849,0.944403,0.84192,2087.1,0.84224,2087.72,76.9,2085.4,34.4,268,40,71,51,11.404,0.8422,0.0254978,0.249028,-164.452,0.195564,-164.452,0.249028,2.093806,0.937145,2.53513E+11,
131676032,0.198508,2.184424,0.83876,2080.86,0.84033,2083.96,7.2,2079.34,79.31,-14,47,164,256.1,12.737,0.8403,0.0144556,0.816242,-124.748,0.364637,-124.748,0.816242,0.183173,2.173191,5.45758E+12,
131676160,0.772252,2.268781,0.84163,2086.52,0.84176,2086.78,28.1,2084.7,82.6,-496,23,123,21.2,11.446,0.8418,0.0819997,0.854598,-134.028,0.926235,-134.028,0.854598,0.755396,2.25862,2.79254E+11,
131676288,1.453728,1.84312,0.84149,2086.25,0.84073,2084.75,52.9,2084.5,67.1,-2,-126,60,-124,12.359,0.8407,0.00125651,0.451981,104.19,0.326906,104.19,0.451981,1.437049,1.834441,2.2856E+12,
